chain_key,chain_name,chain_id,is_testnet,timestamp_utc,block_number,wallet,wallet_is_contract,tx_hash,tx_to,tx_input_selector,direct_to_comet,decoded_comet_function,decoded_comet_asset_symbol,decoded_comet_asset_address,decoded_comet_amount_raw,decoded_comet_amount_formatted,market_keys,market_names,comet_addresses,event_count,event_summaries,explorer_url
mainnet,Ethereum Mainnet,1,false,2026-03-07T09:29:47.000Z,24604687,0x2a902eaee80fe764f420c6ba9a3ffe599b6d78a2,true,0x3af45443da1b480a868a22bb058c447ed873458ef75983ac49ec9721f251e795,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,44500000000000,0.0000445,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,WithdrawCollateral:WETH:0.0000445,https://etherscan.io/tx/0x3af45443da1b480a868a22bb058c447ed873458ef75983ac49ec9721f251e795
mainnet,Ethereum Mainnet,1,false,2026-03-07T09:33:35.000Z,24604706,0xdd52e75d8c3b00c29f7872b9450b237c868f52c4,true,0x8ee840454221dd465dc65e175982036af6fa0f22ad3722eb3d37eceac1640c05,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:3.011,https://etherscan.io/tx/0x8ee840454221dd465dc65e175982036af6fa0f22ad3722eb3d37eceac1640c05
mainnet,Ethereum Mainnet,1,false,2026-03-07T09:42:11.000Z,24604749,0xe2740a5b1ce75dbfbd006ff70d29f19002071542,true,0xaa3f03d8f90728acb3507be61dace7a3ca7eef2f5001c24be5dc9a06f9577fa3,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,47500000000000,0.0000475,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,WithdrawCollateral:WETH:0.0000475,https://etherscan.io/tx/0xaa3f03d8f90728acb3507be61dace7a3ca7eef2f5001c24be5dc9a06f9577fa3
mainnet,Ethereum Mainnet,1,false,2026-03-07T09:54:59.000Z,24604813,0x79b03eeaff5bab44eeeb51f18e531c319101958a,true,0x0f911abe3d2a5ddde4720eb6483b8dd7977717b60f275556bdfeb1f85e42a400,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf2b9fdb8,true,supply,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10000000000,10000,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Supply:USDC:10000,https://etherscan.io/tx/0x0f911abe3d2a5ddde4720eb6483b8dd7977717b60f275556bdfeb1f85e42a400
mainnet,Ethereum Mainnet,1,false,2026-03-07T10:14:11.000Z,24604908,0x704b2424eba621b5bbf93757bb0de151fb027a63,true,0x5e894c21bff05b9b89eb9e4e3689317a1b5c5819c368d9fa36476fdd61095e4c,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,74350000000000,0.00007435,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,WithdrawCollateral:WETH:0.00007435,https://etherscan.io/tx/0x5e894c21bff05b9b89eb9e4e3689317a1b5c5819c368d9fa36476fdd61095e4c
mainnet,Ethereum Mainnet,1,false,2026-03-07T10:47:59.000Z,24605075,0x17139783e618fe4f5d00d97a880d23f971d2db0c,true,0x253df39e2e84723f9143b2ff59406ebd38dbad206070bb56e4043432f6fcc8d1,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,24285897199,24285.897199,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:24285.897199,https://etherscan.io/tx/0x253df39e2e84723f9143b2ff59406ebd38dbad206070bb56e4043432f6fcc8d1
mainnet,Ethereum Mainnet,1,false,2026-03-07T10:50:35.000Z,24605088,0xd115ab5b013f211fdfec73674785ba2239e95a7b,true,0x00967e4abdb91a45ee7bb77a943a025eb275eb8a80a7d63deaed47b70c11cb0b,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129.639935,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:1002.564219,https://etherscan.io/tx/0x00967e4abdb91a45ee7bb77a943a025eb275eb8a80a7d63deaed47b70c11cb0b
mainnet,Ethereum Mainnet,1,false,2026-03-07T10:51:23.000Z,24605092,0xd115ab5b013f211fdfec73674785ba2239e95a7b,true,0xae0fe82ab2d83b7b6f1f479bef04b0bb4b8956b74b246acb96f6b6256aaa4bc7,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf3fef3a3,true,withdraw,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129.639935,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,Withdraw:USDT:2005.08192,https://etherscan.io/tx/0xae0fe82ab2d83b7b6f1f479bef04b0bb4b8956b74b246acb96f6b6256aaa4bc7
mainnet,Ethereum Mainnet,1,false,2026-03-07T10:57:11.000Z,24605120,0x3c1cb7d4c0ce0dc72edc7ea06acc866e62a8f1d8,true,0xc1d62f403f067b45d650b430417976b95f49ad5f9f79a16868599c96ce19a8e2,0xa258c4606ca8206d8aa700ce2143d7db854d168c,0x3ccfd60b,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:0.034460349436463367,https://etherscan.io/tx/0xc1d62f403f067b45d650b430417976b95f49ad5f9f79a16868599c96ce19a8e2
mainnet,Ethereum Mainnet,1,false,2026-03-07T11:04:35.000Z,24605157,0xf03852f5123e6c10f53c6ec976ac79a66982d020,true,0x5d34d67b1e0573bb6cb360361fab8a799739884c91d6ac642e4efe77782020dc,0xa17581a9e3356d9a858b789d68b4d866e593ae94,0xf3fef3a3,true,withdraw,UNKNOWN,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,7500000,0.0000000000075,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,WithdrawCollateral:UNKNOWN:0.0000000000075,https://etherscan.io/tx/0x5d34d67b1e0573bb6cb360361fab8a799739884c91d6ac642e4efe77782020dc
